Simulation:,Density Correction
Angle 45,9098.95126752302,6883.95772815193
Angle 45,9134.68929105822,6900.29870012012
Angle 45,9170.39913914293,6916.52878905223
Angle 45,9206.0809308819,6932.64812640429
Angle 45,9241.7347843232,6948.65684256152
Angle 45,9277.36081646776,6964.55506685043
Angle 45,9312.95914327889,6980.34292755073
Angle 45,9348.52987969152,6996.02055190716
Angle 45,9384.07313962149,7011.58806614114
Angle 45,9419.5890359746,7027.04559546228
Angle 45,9455.07768065559,7042.39326407979
Angle 45,9490.53918457703,7057.63119521373
Angle 45,9525.973657668,7072.75951110615
Angle 45,9561.38120888282,7087.77833303205
Angle 45,9596.76194620947,7102.68778131031
Angle 45,9632.1159766781,7117.4879753144
Angle 45,9667.44340636929,7132.179033483
Angle 45,9702.74434042226,7146.76107333056
Angle 45,9738.01888304299,7161.23421145761
Angle 45,9773.26713751218,7175.59856356109
Angle 45,9808.4892061932,7189.85424444447
Angle 45,9843.68519053986,7204.00136802782
Angle 45,9878.85519110411,7218.04004735772
Angle 45,9913.99930754363,7231.97039461709
Angle 45,9949.11763862939,7245.79252113487
Angle 45,9984.210282253,7259.50653739568
Angle 45,10019.2773354341,7273.11255304927
Angle 45,10054.3188943275,7286.61067691995
Angle 45,10089.3350542303,7300.00101701586
Angle 45,10124.3259095894,7313.28368053818
Angle 45,10159.2915540075,7326.45877389019
Angle 45,10194.232080251,7339.52640268632
Angle 45,10229.1475802562,7352.48667176102
Angle 45,10264.0381451362,7365.33968517756
Angle 45,10298.9038651874,7378.08554623676
Angle 45,10333.7448298962,7390.72435748559
Angle 45,10368.5611279453,7403.25622072573
Angle 45,10403.3528472204,7415.68123702198
Angle 45,10438.1200748161,7427.99950671064
Angle 45,10472.8628970424,7440.21112940777
Angle 45,10507.5813994306,7452.31620401734
Angle 45,10542.2756667397,7464.31482873939
Angle 45,10576.9457829623,7476.20710107799
Angle 45,10611.5918313303,7487.99311784919
Angle 45,10646.2138943211,7499.67297518889
Angle 45,10680.8120536631,7511.2467685606
Angle 45,10715.3863903415,7522.71459276312
Angle 45,10749.9369846042,7534.07654193821
Angle 45,10784.463915967,7545.33270957807
Angle 45,10818.9672632192,7556.48318853285
Angle 45,10853.4471044293,7567.52807101804
Angle 45,10887.90351695,7578.46744862178
Angle 45,10922.3365774239,7589.30141231214
Angle 45,10956.7463617885,7600.03005244426
Angle 45,10991.1329452813,7610.6534587675
Angle 45,11025.4964024453,7621.17172043247
Angle 45,11059.8368071335,7631.58492599798
Angle 45,11094.1542325147,7641.89316343802
Angle 45,11128.4487510775,7652.09652014852
Angle 45,11162.7204346359,7662.1950829542
Angle 45,11196.969354334,7672.18893811526
Angle 45,11231.1955806503,7682.07817133401
Angle 45,11265.399183403,7691.86286776152
Angle 45,11299.5802317544,7701.54311200411
Angle 45,11333.7387942155,7711.11898812983
Angle 45,11367.8749386504,7720.59057967489
Angle 45,11401.9887322812,7729.95796964998
Angle 45,11436.0802416919,7739.22124054663
Angle 45,11470.1495328333,7748.38047434339
Angle 45,11504.196671027,7757.43575251205
Angle 45,11538.2217209696,7766.38715602376
Angle 45,11572.2247467375,7775.23476535513
Angle 45,11606.2058117903,7783.97866049422
Angle 45,11640.1649789756,7792.61892094654
Angle 45,11674.1023105326,7801.15562574095
Angle 45,11708.0178680964,7809.58885343555
Angle 45,11741.9117127019,7817.9186821235
Angle 45,11775.7839047878,7826.14518943877
Angle 45,11809.6345042004,7834.26845256186
Angle 45,11843.4635701976,7842.28854822551
Angle 45,11877.2711614525,7850.20555272029
Angle 45,11911.0573360573,7858.0195419002
Angle 45,11944.8221515269,7865.73059118818
Angle 45,11978.5656648028,7873.33877558163
Angle 45,12012.2879322563,7880.84416965784
Angle 45,12045.9890096927,7888.24684757937
Angle 45,12079.6689523543,7895.54688309945
Angle 45,12113.327814924,7902.74434956724
Angle 45,12146.9656515292,7909.83931993316
Angle 45,12180.5825157446,7916.83186675407
Angle 45,12214.1784605959,7923.72206219849
Angle 45,12247.7535385631,7930.50997805172
Angle 45,12281.307801584,7937.195685721
Angle 45,12314.8413010571,7943.77925624053
Angle 45,12348.354087845,7950.26076027652
Angle 45,12381.8462122776,7956.6402681322
Angle 45,12415.3177241554,7962.91784975274
Angle 45,12448.7686727522,7969.0935747302
Angle 45,12482.1991068186,7975.16751230841
Angle 45,12515.609074585,7981.1397313878
Angle 45,12548.9986237641,7987.01030053025
Angle 45,12582.3678015547,7992.77928796381
Angle 45,12615.716654644,7998.4467615875
Angle 45,12649.0452292107,8004.01278897597
Angle 45,12682.3535709279,8009.47743738422
Angle 45,12715.641724966,8014.84077375221
Angle 45,12748.9097359954,8020.10286470951
Angle 45,12782.1576481893,8025.26377657983
Angle 45,12815.3855052264,8030.3235753856
Angle 45,12848.5933502937,8035.28232685248
Angle 45,12881.7812260891,8040.14009641385
Angle 45,12914.9491748242,8044.89694921528
Angle 45,12948.0972382268,8049.5529501189
Angle 45,12981.2254575433,8054.10816370789
Angle 45,13014.3338735417,8058.56265429076
Angle 45,13047.4225265138,8062.91648590575
Angle 45,13080.4914562777,8067.16972232512
Angle 45,13113.5407021805,8071.32242705944
Angle 45,13146.5703031005,8075.37466336186
Angle 45,13179.5802974498,8079.32649423232
Angle 45,13212.5707231765,8083.17798242178
Angle 45,13245.5416177674,8086.92919043638
Angle 45,13278.4930182498,8090.58018054162
Angle 45,13311.4249611943,8094.13101476646
Angle 45,13344.3374827169,8097.58175490746
Angle 45,13377.2306184812,8100.93246253283
Angle 45,13410.1044037006,8104.18319898651
Angle 45,13442.9588731408,8107.33402539218
Angle 45,13475.7940611215,8110.3850026573
Angle 45,13508.610001519,8113.33619147709
Angle 45,13541.4067277681,8116.18765233848
Angle 45,13574.1842728642,8118.93944552406
Angle 45,13606.9426693655,8121.591631116
Angle 45,13639.681949395,8124.14426899999
Angle 45,13672.4021446425,8126.59741886904
Angle 45,13705.1032863665,8128.95114022741
Angle 45,13737.7854053967,8131.20549239441
Angle 45,13770.4485321351,8133.36053450823
Angle 45,13803.0926965588,8135.41632552974
Angle 45,13835.7179282215,8137.37292424626
Angle 45,13868.3242562554,8139.23038927531
Angle 45,13900.911709373,8140.9887790684
Angle 45,13933.4803158693,8142.64815191468
Angle 45,13966.0301036234,8144.20856594468
Angle 45,13998.5611001003,8145.67007913402
Angle 45,14031.0733323527,8147.03274930702
Angle 45,14063.5668270229,8148.29663414038
Angle 45,14096.0416103444,8149.46179116685
Angle 45,14128.4977081437,8150.52827777875
Angle 45,14160.9351458422,8151.49615123168
Angle 45,14193.3539484573,8152.36546864801
Angle 45,14225.754140605,8153.13628702051
Angle 45,14258.1357465007,8153.80866321586
Angle 45,14290.4987899613,8154.38265397822
Angle 45,14322.8432944066,8154.8583159327
Angle 45,14355.1692828611,8155.23570558891
Angle 45,14387.4767779556,8155.51487934445
Angle 45,14419.7658019285,8155.69589348835
Angle 45,14452.0363766274,8155.77880420454
Angle 45,14484.2885235111,8155.76366757534
Angle 45,14516.5222636503,8155.65053958481
Angle 45,14548.7376177299,8155.43947612226
Angle 45,14580.93460605,8155.13053298559
Angle 45,14613.1132485274,8154.72376588471
Angle 45,14645.2735646973,8154.2192304449
Angle 45,14677.4155737143,8153.61698221021
Angle 45,14709.5392943544,8152.91707664679
Angle 45,14741.6447450159,8152.1195691462
Angle 45,14773.7319437209,8151.22451502883
Angle 45,14805.8009081168,8150.23196954712
Angle 45,14837.8516554775,8149.1419878889
Angle 45,14869.884202705,8147.95462518074
Angle 45,14901.8985663302,8146.66993649112
Angle 45,14933.8947625149,8145.28797683382
Angle 45,14965.8728070524,8143.80880117109
Angle 45,14997.8327153693,8142.23246441694
Angle 45,15029.7745025264,8140.55902144039
Angle 45,15061.6981832204,8138.78852706868
Angle 45,15093.6037717844,8136.92103609048
Angle 45,15125.4912821899,8134.95660325913
Angle 45,15157.3607280475,8132.89528329581
Angle 45,15189.2121226084,8130.73713089274
Angle 45,15221.0454787652,8128.48220071638
Angle 45,15252.8608090536,8126.13054741057
Angle 45,15284.658125653,8123.68222559969
Angle 45,15316.4374403879,8121.13728989185
Angle 45,15348.1987647292,8118.49579488202
Angle 45,15379.942109795,8115.75779515513
Angle 45,15411.6674863518,8112.92334528925
Angle 45,15443.3749048156,8109.99249985867
Angle 45,15475.0643752531,8106.96531343704
Angle 45,15506.7359073826,8103.84184060045
Angle 45,15538.3895105749,8100.62213593054
Angle 45,15570.025193855,8097.30625401759
Angle 45,15601.6429659022,8093.89424946359
Angle 45,15633.2428350518,8090.38617688531
Angle 45,15664.824809296,8086.78209091739
Angle 45,15696.3888962844,8083.08204621537
Angle 45,15727.9351033257,8079.28609745877
Angle 45,15759.4634373883,8075.39429935412
Angle 45,15790.9739051011,8071.40670663799
Angle 45,15822.4665127548,8067.32337408005
Angle 45,15853.9412663026,8063.14435648608
Angle 45,15885.3981713612,8058.86970870099
Angle 45,15916.8372332117,8054.49948561183
Angle 45,15948.2584568005,8050.03374215083
Angle 45,15979.6618467404,8045.47253329836
Angle 45,16011.047407311,8040.81591408596
Angle 45,16042.41514246,8036.06393959931
Angle 45,16073.7650558041,8031.21666498126
Angle 45,16105.0971506293,8026.27414543473
Angle 45,16136.4114298925,8021.23643622579
Angle 45,16167.7078962218,8016.10359268655
Angle 45,16198.9865519175,8010.87567021816
Angle 45,16230.2473989528,8005.55272429379
Angle 45,16261.490438975,8000.13481046154
Angle 45,16292.7156733057,7994.62198434746
Angle 45,16323.9231029421,7989.01430165844
Angle 45,16355.1127285574,7983.31181818518
Angle 45,16386.2845505018,7977.51458980514
Angle 45,16417.4385688032,7971.62267248547
Angle 45,16448.574783168,7965.63612228594
Angle 45,16479.6931929817,7959.55499536187
Angle 45,16510.7937973099,7953.37934796708
Angle 45,16541.8765948985,7947.10923645678
Angle 45,16572.9415841752,7940.7447172905
Angle 45,16603.9887632493,7934.28584703503
Angle 45,16635.0181299133,7927.7326823673
Angle 45,16666.0296816428,7921.08528007732
Angle 45,16697.0234155979,7914.34369707107
Angle 45,16727.9993286232,7907.50799037341
Angle 45,16758.957417249,7900.57821713099
Angle 45,16789.8976776916,7893.55443461514
Angle 45,16820.8201058541,7886.43670022478
Angle 45,16851.7246973271,7879.2250714893
Angle 45,16882.6114473894,7871.91960607146
Angle 45,16913.4803510081,7864.52036177028
Angle 45,16944.3314028401,7857.02739652395
Angle 45,16975.164597232,7849.44076841268
Angle 45,17005.9799282208,7841.76053566161
Angle 45,17036.7773895349,7833.98675664369
Angle 45,17067.5569745943,7826.11948988255
Angle 45,17098.3186765114,7818.1587940554
Angle 45,17129.0624880913,7810.10472799589
Angle 45,17159.7884018327,7801.95735069702
Angle 45,17190.4964099284,7793.71672131396
Angle 45,17221.1865042656,7785.38289916697
Angle 45,17251.8586764267,7776.95594374428
Angle 45,17282.5129176899,7768.43591470492
Angle 45,17313.1492190295,7759.82287188163
Angle 45,17343.7675711165,7751.11687528372
Angle 45,17374.3679643191,7742.31798509993
Angle 45,17404.9503887036,7733.42626170133
Angle 45,17435.5148340342,7724.44176564414
Angle 45,17466.0612897742,7715.36455767264
Angle 45,17496.5897450861,7706.19469872205
Angle 45,17527.100188832,7696.93224992134
Angle 45,17557.5926095745,7687.57727259614
Angle 45,17588.0669955769,7678.12982827162
Angle 45,17618.5233348038,7668.58997867533
Angle 45,17648.9616149213,7658.95778574006
Angle 45,17679.3818232979,7649.23331160674
Angle 45,17709.7839470044,7639.4166186273
Angle 45,17740.1679728151,7629.50776936751
Angle 45,17770.5338872074,7619.50682660988
Angle 45,17800.8816763629,7609.41385335653
Angle 45,17831.2113261675,7599.22891283202
Angle 45,17861.522822212,7588.95206848629
Angle 45,17891.8161497924,7578.58338399744
Angle 45,17922.0912939103,7568.12292327469
Angle 45,17952.3482392735,7557.5707504612
Angle 45,17982.5869702962,7546.92692993694
Angle 45,18012.8074710996,7536.19152632161
Angle 45,18043.009725512,7525.36460447746
Angle 45,18073.1937170697,7514.4462295122
Angle 45,18103.3594290166,7503.43646678187
Angle 45,18133.5068443056,7492.3353818937
Angle 45,18163.6359455981,7481.14304070904
Angle 45,18193.7467152647,7469.85950934616
Angle 45,18223.8391353859,7458.48485418321
Angle 45,18253.9131877518,7447.01914186107
Angle 45,18283.9688538629,7435.46243928621
Angle 45,18314.0061149306,7423.81481363364
Angle 45,18344.0249518772,7412.07633234973
Angle 45,18374.0253453361,7400.24706315515
Angle 45,18404.0072756529,7388.32707404772
Angle 45,18433.9707228849,7376.31643330536
Angle 45,18463.9156668019,7364.21520948892
Angle 45,18493.8420868865,7352.02347144512
Angle 45,18523.7499623344,7339.74128830943
Angle 45,18553.6392720544,7327.36872950898
Angle 45,18583.5099946694,7314.90586476546
Angle 45,18613.362108516,7302.35276409804
Angle 45,18643.1955916452,7289.70949782622
Angle 45,18673.0104218229,7276.97613657283
Angle 45,18702.8065765297,7264.15275126687
Angle 45,18732.5840329615,7251.23941314643
Angle 45,18762.3427680297,7238.23619376165
Angle 45,18792.0827583617,7225.14316497761
Angle 45,18821.803980301,7211.96039897722
Angle 45,18851.5064099074,7198.68796826422
Angle 45,18881.1900229577,7185.32594566604
Angle 45,18910.8547949454,7171.87440433673
Angle 45,18940.5007010815,7158.33341775993
Angle 45,18970.1277162944,7144.7030597518
Angle 45,18999.7358152306,7130.98340446392
Angle 45,19029.3249722544,7117.17452638624
Angle 45,19058.8951614486,7103.27650035005
Angle 45,19088.4463566147,7089.2894015309
Angle 45,19117.9785312732,7075.21330545155
Angle 45,19147.4916586635,7061.04828798491
Angle 45,19176.9857117446,7046.79442535704
Angle 45,19206.4606631952,7032.45179415003
Angle 45,19235.916485414,7018.02047130502
Angle 45,19265.3531505197,7003.50053412514
Angle 45,19294.7706303516,6988.89206027848
Angle 45,19324.1688964696,6974.19512780104
Angle 45,19353.5479201546,6959.40981509971
Angle 45,19382.9076724087,6944.53620095526
Angle 45,19412.2481239554,6929.5743645253
Angle 45,19441.5692452398,6914.52438534727
Angle 45,19470.8710064289,6899.38634334138
Angle 45,19500.1533774121,6884.16031881368
Angle 45,19529.4163278007,6868.84639245897
Angle 45,19558.6598269291,6853.44464536382
Angle 45,19587.8838438542,6837.95515900958
Angle 45,19617.0883473561,6822.37801527535
Angle 45,19646.2733059382,6806.71329644102
Angle 45,19675.4386878274,6790.96108519022
Angle 45,19704.5844609743,6775.12146461338
Angle 45,19733.7105930535,6759.19451821072
Angle 45,19762.817051464,6743.18032989525
Angle 45,19791.9038033289,6727.0789839958
Angle 45,19820.9708154963,6710.89056526006
Angle 45,19850.0180545388,6694.61515885756
Angle 45,19879.0454867543,6678.25285038274
Angle 45,19908.0530781661,6661.80372585795
Angle 45,19937.0407945229,6645.26787173649
Angle 45,19966.0086012991,6628.64537490567
Angle 45,19994.9564636952,6611.93632268981
Angle 45,20023.8843466379,6595.14080285331
Angle 45,20052.7922147803,6578.25890360368
Angle 45,20081.6800325019,6561.29071359461
Angle 45,20110.5477639094,6544.23632192898
Angle 45,20139.3953728363,6527.09581816198
Angle 45,20168.2228228436,6509.8692923041
Angle 45,20197.0300772197,6492.55683482424
Angle 45,20225.8170989806,6475.15853665274
Angle 45,20254.5838508705,6457.67448918447
Angle 45,20283.3302953615,6440.10478428189
Angle 45,20312.0563946544,6422.44951427812
Angle 45,20340.7621106783,6404.70877198003
Angle 45,20369.4474050913,6386.8826506713
Angle 45,20398.1122392805,6368.97124411551
Angle 45,20426.7565743622,6350.97464655923
Angle 45,20455.3803711824,6332.89295273508
Angle 45,20483.9835903168,6314.72625786488
Angle 45,20512.5661920707,6296.47465766265
Angle 45,20541.1281364801,6278.1382483378
Angle 45,20569.6693833111,6259.71712659817
Angle 45,20598.1898920604,6241.21138965312
Angle 45,20626.6896219557,6222.62113521671
Angle 45,20655.1685319559,6203.94646151069
Angle 45,20683.6265807511,6185.18746726771
Angle 45,20712.0637267631,6166.34425173438
Angle 45,20740.4799281452,6147.41691467437
Angle 45,20768.8751427833,6128.40555637157
Angle 45,20797.2493282951,6109.31027763316
Angle 45,20825.6024420313,6090.13117979276
Angle 45,20853.934441075,6070.86836471352
Angle 45,20882.2452822426,6051.52193479128
Angle 45,20910.5349220839,6032.09199295766
Angle 45,20938.8033168819,6012.5786426832
Angle 45,20967.0504226538,5992.98198798049
Angle 45,20995.2761951507,5973.30213340729
Angle 45,21023.4805898582,5953.53918406967
Angle 45,21051.6635619962,5933.69324562514
Angle 45,21079.8250665198,5913.76442428577
Angle 45,21107.9650581193,5893.75282682134
Angle 45,21136.0834912201,5873.65856056247
Angle 45,21164.1803199837,5853.48173340375
Angle 45,21192.2554983074,5833.22245380691
Angle 45,21220.3089798249,5812.88083080391
Angle 45,21248.3407179064,5792.4569740001
Angle 45,21276.350665659,5771.95099357738
Angle 45,21304.3387759271,5751.36300029732
Angle 45,21332.3050012924,5730.69310550429
Angle 45,21360.2492940747,5709.94142112863
Angle 45,21388.1716063315,5689.10805968979
Angle 45,21416.0718898591,5668.19313429942
Angle 45,21443.9500961925,5647.19675866459
Angle 45,21471.8061766055,5626.11904709088
Angle 45,21499.6400821115,5604.96011448554
Angle 45,21527.4517634639,5583.7200763606
Angle 45,21555.2411711557,5562.39904883607
Angle 45,21583.0082554208,5540.99714864304
Angle 45,21610.7529662335,5519.5144931268
Angle 45,21638.4752533095,5497.95120025003
Angle 45,21666.1750661059,5476.30738859589
Angle 45,21693.8523538218,5454.58317737121
Angle 45,21721.5070653985,5432.77868640954
Angle 45,21749.1391495197,5410.89403617437
Angle 45,21776.7485546126,5388.92934776222
Angle 45,21804.3352288474,5366.88474290577
Angle 45,21831.8991201383,5344.76034397698
Angle 45,21859.4401761437,5322.55627399024
Angle 45,21886.9583442666,5300.27265660549
Angle 45,21914.4535716551,5277.90961613129
Angle 45,21941.9258052028,5255.46727752802
Angle 45,21969.374991549,5232.94576641094
Angle 45,21996.8010770797,5210.34520905329
Angle 45,22024.2040079274,5187.66573238946
Angle 45,22051.583729972,5164.90746401804
Angle 45,22078.9401888411,5142.07053220492
Angle 45,22106.2733299104,5119.15506588644
Angle 45,22133.5830983044,5096.16119467243
